,0
0,2.7240765
1,8.45564
2,24.49248
3,8.395869
4,6.8162074
5,6.7870827
6,3.384716
7,16.585505
8,7.9122596
9,24.769491
10,12.2792425
11,10.001437
12,17.53747
13,30.807852
14,26.347786
15,19.99885
16,7.7118263
17,4.8871517
18,4.0631676
19,11.352626
20,5.782415
21,9.487029
22,19.491503
23,9.236321
24,32.39403
25,30.768866
26,23.202492
27,13.66937
28,7.6958146
29,5.9319263
30,5.786756
31,9.581719
32,32.20889
33,17.89035
34,17.44799
35,12.605647
36,12.942813
37,8.947555
38,53.67276
39,67.10242
40,36.1975
41,42.611988
42,23.203024
43,15.8063
44,12.019391
45,9.930481
46,11.504193
47,14.58548
48,13.845445
49,17.185165
50,13.479661
51,10.683625
52,8.376882
53,12.067124
54,10.220104
55,10.944244
56,8.815964
57,12.537395
58,9.197513
59,9.906669
60,14.405984
61,12.28302
62,10.684929
63,10.226237
64,12.664005
65,33.46176
66,37.100163
67,48.03604
68,116.75619
69,52.37807
70,47.32195
71,14.075986
72,60.667835
73,31.775698
74,38.257107
75,17.245562
76,16.97148
77,11.453414
78,10.869302
79,39.48395
80,29.681986
81,26.382929
82,16.192373
83,11.596955
84,11.3195915
85,10.632859
86,13.325925
87,13.59666
88,12.410167
89,10.733349
90,11.447806
91,10.827403
92,24.428953
93,29.620451
94,25.802826
95,20.5625
96,16.48369
97,12.398799
98,16.545147
99,33.37263
100,21.91871
101,18.847975
102,11.095433
